Albania,Emir Blaze Kahan,Kahan,1,1998,9,goalkeeper,albania_emir blaze kahan.png,cp base.png 'albania_emir blaze kahan.png';
Albania,Cillian Saul Aamot,Aamot,22,1985,4,goalkeeper,albania_cillian saul aamot.png,cp base.png 'albania_cillian saul aamot.png';
Albania,Darren Rey Faidley,Faidley,2,1984,4,defender,albania_darren rey faidley.png,cp base.png 'albania_darren rey faidley.png';
Albania,Zechariah Hendrix Abbas,Abbas,3,1988,10,defender,albania_zechariah hendrix abbas.png,cp base.png 'albania_zechariah hendrix abbas.png';
Albania,Mathias Mekhi Saber,Saber,4,1994,7,defender,albania_mathias mekhi saber.png,cp base.png 'albania_mathias mekhi saber.png';
Albania,River Heath Fackelman,Fackelman,5,1992,12,defender,albania_river heath fackelman.png,cp base.png 'albania_river heath fackelman.png';
Albania,Tru Tucker Abernathey,Abernathey,6,1985,10,defender,albania_tru tucker abernathey.png,cp base.png 'albania_tru tucker abernathey.png';
Albania,Yousef Maximus Sahiba,Sahiba,8,1995,6,defender,albania_yousef maximus sahiba.png,cp base.png 'albania_yousef maximus sahiba.png';
Albania,Bodhi Zyaire Sahen,Sahen,12,1996,8,defender,albania_bodhi zyaire sahen.png,cp base.png 'albania_bodhi zyaire sahen.png';
Albania,Cain Rylan Sachee,Sachee,7,1988,3,midfielder,albania_cain rylan sachee.png,cp base.png 'albania_cain rylan sachee.png';
Albania,Oscar Hendrix Sago,Sago,13,1997,1,midfielder,albania_oscar hendrix sago.png,cp base.png 'albania_oscar hendrix sago.png';
Albania,Griffin Nolan Abello,Abello,14,1990,7,midfielder,albania_griffin nolan abello.png,cp base.png 'albania_griffin nolan abello.png';
Albania,Phillip Trace Galen,Galen,15,1991,6,midfielder,albania_phillip trace galen.png,cp base.png 'albania_phillip trace galen.png';
Albania,Stanley Dario Valkyrie,Valkyrie,16,1990,3,midfielder,albania_stanley dario valkyrie.png,cp base.png 'albania_stanley dario valkyrie.png';
Albania,Cole Omari Kahr,Kahr,17,1988,9,midfielder,albania_cole omari kahr.png,cp base.png 'albania_cole omari kahr.png';
Albania,Rayan Jefferson Valtina,Valtina,18,1988,10,midfielder,albania_rayan jefferson valtina.png,cp base.png 'albania_rayan jefferson valtina.png';
Albania,Anakin Rio Galen,Galen,10,1987,12,midfielder,albania_anakin rio galen.png,cp base.png 'albania_anakin rio galen.png';
Albania,Cesar Zaid Val,Val,9,1996,3,foward,albania_cesar zaid val.png,cp base.png 'albania_cesar zaid val.png';
Albania,Chaim Kevin Sachen,Sachen,11,1989,2,foward,albania_chaim kevin sachen.png,cp base.png 'albania_chaim kevin sachen.png';
Albania,Zeke Johnny Valtina,Valtina,19,1994,3,foward,albania_zeke johnny valtina.png,cp base.png 'albania_zeke johnny valtina.png';
Albania,Hudson Darius Saleena,Saleena,20,1989,2,foward,albania_hudson darius saleena.png,cp base.png 'albania_hudson darius saleena.png';
Albania,Brodie Rogelio Gad,Gad,21,1987,5,foward,albania_brodie rogelio gad.png,cp base.png 'albania_brodie rogelio gad.png';
Algeria,Cason Derek Fabry,Fabry,1,1987,12,goalkeeper,algeria_cason derek fabry.png,cp base.png 'algeria_cason derek fabry.png';
Algeria,Grant Misael Sabella,Sabella,22,1992,7,goalkeeper,algeria_grant misael sabella.png,cp base.png 'algeria_grant misael sabella.png';
Algeria,Azariah Muhammad Sage,Sage,2,1995,3,defender,algeria_azariah muhammad sage.png,cp base.png 'algeria_azariah muhammad sage.png';
Algeria,Cruz Emilio Abbitt,Abbitt,3,1989,3,defender,algeria_cruz emilio abbitt.png,cp base.png 'algeria_cruz emilio abbitt.png';
Algeria,Pierce Mordechai Varun,Varun,4,1998,9,defender,algeria_pierce mordechai varun.png,cp base.png 'algeria_pierce mordechai varun.png';
